Name,Profession,Rank
Christina Grimmie (1994-2016),Pop Singer,1
Anna Zak,Instagram Star,2
Jessie Paege,YouTube Star,3
Malina Weissman,TV Actress,4
Lewis Blissett,Pop Singer,5
Andrea Brillantes,TV Actress,6
Smooth Gio,YouTube Star,7
Parker Coppins,YouTube Star,8
Momo,Instagram Star,9
Stromae,Rapper,10
JoJoe,Instagram Star,11
Anna Clendening,Pop Singer,12
Hana Giraldo,Entrepreneur,13
Scrapp Deleon,Reality Star,14
Conner Dennis,Instagram Star,15
Kinga Sawczuk,TikTok Star,16
Mitt Romney,Politician,17
Haminations,YouTube Star,18
RobertIDK,YouTube Star,19
Junsun Yoo,Dancer,20
Mae Young (1923-2014),Wrestler,21
Liza Minnelli,Movie Actress,22
Shreya Ghoshal,World Music Singer,23
Catelynn Lowell,Reality Star,24
Atif Aslam,Pop Singer,25
Danny Jones,Guitarist,26
Keeley Elise,YouTube Star,27
Smyth,R&B Singer,28
James Taylor,Folk Singer,29
Gibbster,YouTube Star,30
Grande,YouTube Star,31
Meg Turney,YouTube Star,32
Tyler Ward,Pop Singer,33
AJ Rafael,YouTube Star,34
Elliadria Griffin,Reality Star,35
Marlon Jackson,Pop Singer,36
Ayla Weissman,Instagram Star,37
Elly Jackson,Pop Singer,38
Nordeltus,YouTube Star,39
Jaimie Alexander,Movie Actress,40
Taylor Johnson,Instagram Star,41
Desifare,Blogger,42
Frank Welker,Voice Actor,43
Moha Shmri,YouTube Star,44
ApoRed,YouTube Star,45
Clay Honeycutt,Reality Star,46
Daija Wilson,Dancer,47
Sian Lilly,YouTube Star,48
